date,name,name,score
2015-08-08,Chelsea,"Swansea City","2 - 2"
2015-08-08,"Manchester United","Tottenham Hotspur","1 - 0"
2015-08-08,Everton,Watford,"2 - 2"
2015-08-08,"Norwich City","Crystal Palace","1 - 3"
2015-08-08,"Leicester City",Sunderland,"4 - 2"
2015-08-08,"AFC Bournemouth","Aston Villa","0 - 1"
2015-08-09,Arsenal,"West Ham United","0 - 2"
2015-08-09,"Newcastle United",Southampton,"2 - 2"
2015-08-09,"Stoke City",Liverpool,"0 - 1"
2015-08-10,"West Bromwich Albion","Manchester City","0 - 3"
2015-08-14,"Aston Villa","Manchester United","0 - 1"
2015-08-15,Southampton,Everton,"0 - 3"
2015-08-15,"Tottenham Hotspur","Stoke City","2 - 2"
2015-08-15,Sunderland,"Norwich City","1 - 3"
2015-08-15,"West Ham United","Leicester City","1 - 2"
2015-08-15,Watford,"West Bromwich Albion","0 - 0"
2015-08-15,"Swansea City","Newcastle United","2 - 0"
2015-08-16,"Manchester City",Chelsea,"3 - 0"
2015-08-16,"Crystal Palace",Arsenal,"1 - 2"
2015-08-17,Liverpool,"AFC Bournemouth","1 - 0"
2015-08-22,"Manchester United","Newcastle United","0 - 0"
2015-08-22,"Norwich City","Stoke City","1 - 1"
2015-08-22,"Crystal Palace","Aston Villa","2 - 1"
2015-08-22,"Leicester City","Tottenham Hotspur","1 - 1"
2015-08-22,Sunderland,"Swansea City","1 - 1"
2015-08-22,"West Ham United","AFC Bournemouth","3 - 4"
2015-08-23,Everton,"Manchester City","0 - 2"
2015-08-23,"West Bromwich Albion",Chelsea,"2 - 3"
2015-08-23,Watford,Southampton,"0 - 0"
2015-08-24,Arsenal,Liverpool,"0 - 0"
2015-08-29,Chelsea,"Crystal Palace","1 - 2"
2015-08-29,Liverpool,"West Ham United","0 - 3"
2015-08-29,"Newcastle United",Arsenal,"0 - 1"
2015-08-29,"Aston Villa",Sunderland,"2 - 2"
2015-08-29,"Tottenham Hotspur",Everton,"0 - 0"
2015-08-29,"Manchester City",Watford,"2 - 0"
2015-08-29,"Stoke City","West Bromwich Albion","0 - 1"
2015-08-29,"AFC Bournemouth","Leicester City","1 - 1"
2015-08-30,Southampton,"Norwich City","3 - 0"
2015-08-30,"Swansea City","Manchester United","2 - 1"
2015-09-12,Arsenal,"Stoke City","2 - 0"
2015-09-12,"Manchester United",Liverpool,"3 - 1"
2015-09-12,Everton,Chelsea,"3 - 1"
2015-09-12,"Norwich City","AFC Bournemouth","3 - 1"
2015-09-12,"West Bromwich Albion",Southampton,"0 - 0"
2015-09-12,"Crystal Palace","Manchester City","0 - 1"
2015-09-12,Watford,"Swansea City","1 - 0"
2015-09-13,"Leicester City","Aston Villa","3 - 2"
2015-09-13,Sunderland,"Tottenham Hotspur","0 - 1"
2015-09-14,"West Ham United","Newcastle United","2 - 0"
2015-09-19,Chelsea,Arsenal,"2 - 0"
2015-09-19,"Newcastle United",Watford,"1 - 2"
2015-09-19,"Aston Villa","West Bromwich Albion","0 - 1"
2015-09-19,"Manchester City","West Ham United","1 - 2"
2015-09-19,"Stoke City","Leicester City","2 - 2"
2015-09-19,"AFC Bournemouth",Sunderland,"2 - 0"
2015-09-19,"Swansea City",Everton,"0 - 0"
2015-09-20,Liverpool,"Norwich City","1 - 1"
2015-09-20,Southampton,"Manchester United","2 - 3"
2015-09-20,"Tottenham Hotspur","Crystal Palace","1 - 0"
2015-09-26,"Manchester United",Sunderland,"3 - 0"
2015-09-26,Liverpool,"Aston Villa","3 - 2"
2015-09-26,"Newcastle United",Chelsea,"2 - 2"
2015-09-26,Southampton,"Swansea City","3 - 1"
2015-09-26,"Tottenham Hotspur","Manchester City","4 - 1"
2015-09-26,"Leicester City",Arsenal,"2 - 5"
2015-09-26,"West Ham United","Norwich City","2 - 2"
2015-09-26,"Stoke City","AFC Bournemouth","2 - 1"
2015-09-27,Watford,"Crystal Palace","0 - 1"
2015-09-28,"West Bromwich Albion",Everton,"2 - 3"
2015-10-03,Chelsea,Southampton,"1 - 3"
2015-10-03,"Aston Villa","Stoke City","0 - 1"
2015-10-03,"Manchester City","Newcastle United","6 - 1"
2015-10-03,"Norwich City","Leicester City","1 - 2"
2015-10-03,"Crystal Palace","West Bromwich Albion","2 - 0"
2015-10-03,Sunderland,"West Ham United","2 - 2"
2015-10-03,"AFC Bournemouth",Watford,"1 - 1"
2015-10-04,Arsenal,"Manchester United","3 - 0"
2015-10-04,Everton,Liverpool,"1 - 1"
2015-10-04,"Swansea City","Tottenham Hotspur","2 - 2"
2015-10-17,Chelsea,"Aston Villa","2 - 0"
2015-10-17,Southampton,"Leicester City","2 - 2"
2015-10-17,Everton,"Manchester United","0 - 3"
2015-10-17,"Tottenham Hotspur",Liverpool,"0 - 0"
2015-10-17,"Manchester City","AFC Bournemouth","5 - 1"
2015-10-17,"West Bromwich Albion",Sunderland,"1 - 0"
2015-10-17,"Crystal Palace","West Ham United","1 - 3"
2015-10-17,Watford,Arsenal,"0 - 3"
2015-10-18,"Newcastle United","Norwich City","6 - 2"
2015-10-19,"Swansea City","Stoke City","0 - 1"
2015-10-24,Arsenal,Everton,"2 - 1"
2015-10-24,"Aston Villa","Swansea City","1 - 2"
2015-10-24,"Norwich City","West Bromwich Albion","0 - 1"
2015-10-24,"Leicester City","Crystal Palace","1 - 0"
2015-10-24,"West Ham United",Chelsea,"2 - 1"
2015-10-24,"Stoke City",Watford,"0 - 2"
2015-10-25,"Manchester United","Manchester City","0 - 0"
2015-10-25,Liverpool,Southampton,"1 - 1"
2015-10-25,Sunderland,"Newcastle United","3 - 0"
2015-10-25,"AFC Bournemouth","Tottenham Hotspur","1 - 5"
2015-10-31,Chelsea,Liverpool,"1 - 3"
2015-10-31,"Newcastle United","Stoke City","0 - 0"
2015-10-31,"Manchester City","Norwich City","2 - 1"
2015-10-31,"West Bromwich Albion","Leicester City","2 - 3"
2015-10-31,"Crystal Palace","Manchester United","0 - 0"
2015-10-31,Watford,"West Ham United","2 - 0"
2015-10-31,"Swansea City",Arsenal,"0 - 3"
2015-11-01,Southampton,"AFC Bournemouth","2 - 0"
2015-11-01,Everton,Sunderland,"6 - 2"
